date,fips,lat,lon,tmax,tmin,prcp,wind_speed,fmc,fire_size
2025-05-09,6007.0,39.665336,-121.603209,32.1,15.1,0.0,11.9,90.49573584427112,60.72039
2025-05-09,6009.0,38.191068,-120.554107,28.9,14.3,0.0,12.8,90.49573584427112,16.401817
2025-05-09,6011.0,39.177739,-122.237563,33.2,16.3,0.0,17.9,210.0,62.545216
2025-05-09,6013.0,37.919479,-121.951543,30.9,10.2,0.0,14.8,90.49573584427112,46.29139
2025-05-09,6015.0,41.749903,-123.980998,22.6,7.7,0.0,10.9,90.49573584427112,-5.205848
2025-05-09,6017.0,38.785612,-120.534225,25.2,11.5,0.0,14.5,66.0,10.954938
2025-05-09,6019.0,36.761006,-119.655019,35.2,21.0,0.0,10.2,90.49573584427112,15.9141865
2025-05-09,6021.0,39.602546,-122.4017,31.8,15.8,0.0,12.7,90.49573584427112,52.10976
2025-05-09,6023.0,40.706655,-123.926176,21.6,6.1,0.0,11.7,90.49573584427112,-4.2830877
2025-05-09,6025.0,33.040814,-115.3554,38.7,23.5,0.0,18.1,90.49573584427112,48.994152
2025-05-09,6027.0,36.56216,-117.404209,27.1,16.7,0.0,14.3,87.5,23.60033
2025-05-09,6029.0,35.346629,-118.729506,33.4,18.1,0.0,15.7,90.49573584427112,11.858587
2025-05-09,6031.0,36.072478,-119.81553,36.7,17.9,0.0,15.4,95.0,12.684641
2025-05-09,6033.0,39.108009,-122.745217,27.8,12.7,0.0,15.7,90.49573584427112,-10.480116
2025-05-09,6035.0,40.715287,-120.621223,21.9,4.1,0.0,18.9,90.49573584427112,-3.7776313
2025-05-09,6037.0,34.196398,-118.261862,30.9,19.6,0.0,13.2,90.49573584427112,-5.215445
2025-05-09,6039.0,37.209821,-119.749802,31.1,17.6,0.0,12.4,90.49573584427112,26.185125
2025-05-09,6041.0,38.051367,-122.746396,27.0,9.1,0.0,13.8,90.49573584427112,0.38413692
2025-05-09,6043.0,37.574343,-119.911721,28.6,15.1,0.0,13.5,90.49573584427112,36.529152
2025-05-09,6045.0,39.432388,-123.442881,25.5,8.3,0.0,14.4,90.49573584427112,-3.6944818
2025-05-09,6047.0,37.194806,-120.722802,36.8,15.0,0.0,17.7,106.0,25.254051
2025-05-09,6049.0,41.592918,-120.71837,24.9,8.4,0.0,19.6,90.49573584427112,1.9585111
2025-05-09,6051.0,37.915836,-118.875167,19.4,7.2,0.0,18.6,90.49573584427112,-0.98677284
2025-05-09,6053.0,36.240104,-121.315578,32.3,16.0,0.0,19.7,89.0,43.471966
2025-05-09,6055.0,38.5071,-122.325904,29.9,11.8,0.0,16.6,90.49573584427112,35.160984
2025-05-09,6057.0,39.297508,-120.771343,24.9,10.4,0.0,14.8,90.49573584427112,6.038679
2025-05-09,6059.0,33.675687,-117.777207,28.5,17.8,0.0,16.3,92.33333333333331,22.638214
2025-05-09,6061.0,39.062032,-120.722718,27.0,12.2,0.0,13.2,66.66666666666667,10.3527775
2025-05-09,6063.0,39.992295,-120.824371,23.5,5.2,0.0,19.9,148.0,4.4322147
2025-05-09,6065.0,33.729828,-116.002239,32.2,21.1,0.0,11.7,90.49573584427112,30.829063
2025-05-09,6067.0,38.450136,-121.344329,33.0,13.8,0.0,10.0,90.49573584427112,19.531994
2025-05-09,6069.0,36.611651,-121.085811,31.6,15.2,0.0,11.1,90.49573584427112,50.409424
2025-05-09,6071.0,34.856661,-116.181571,36.5,24.0,0.0,15.3,90.49573584427112,40.212753
